block_id,vol_id,tile_idx,d,h,w,density,target,path
79,9,7,14,14,14,0.761297,GPU,blocks/blk_0000079.npy
80,10,0,14,14,14,0.998178,GPU,blocks/blk_0000080.npy
81,10,1,14,14,14,1.000000,GPU,blocks/blk_0000081.npy
82,10,2,14,14,14,1.000000,GPU,blocks/blk_0000082.npy
83,10,3,14,14,14,0.998178,GPU,blocks/blk_0000083.npy
84,10,4,14,14,14,1.000000,GPU,blocks/blk_0000084.npy
85,10,5,14,14,14,0.999271,GPU,blocks/blk_0000085.npy
86,10,6,14,14,14,1.000000,GPU,blocks/blk_0000086.npy
87,10,7,14,14,14,1.000000,GPU,blocks/blk_0000087.npy
88,11,0,14,14,14,1.000000,GPU,blocks/blk_0000088.npy
89,11,1,14,14,14,1.000000,GPU,blocks/blk_0000089.npy
90,11,2,14,14,14,1.000000,GPU,blocks/blk_0000090.npy
91,11,3,14,14,14,1.000000,GPU,blocks/blk_0000091.npy
92,11,4,14,14,14,0.928571,GPU,blocks/blk_0000092.npy
93,11,5,14,14,14,0.928571,GPU,blocks/blk_0000093.npy
94,11,6,14,14,14,0.928571,GPU,blocks/blk_0000094.npy
95,11,7,14,14,14,0.928571,GPU,blocks/blk_0000095.npy
96,12,0,14,14,14,0.978863,GPU,blocks/blk_0000096.npy
97,12,1,14,14,14,0.983236,GPU,blocks/blk_0000097.npy
98,12,2,14,14,14,0.878280,GPU,blocks/blk_0000098.npy
99,12,3,14,14,14,0.986880,GPU,blocks/blk_0000099.npy
100,12,4,14,14,14,0.999636,GPU,blocks/blk_0000100.npy
101,12,5,14,14,14,0.998907,GPU,blocks/blk_0000101.npy
102,12,6,14,14,14,0.942055,GPU,blocks/blk_0000102.npy
103,12,7,14,14,14,0.991983,GPU,blocks/blk_0000103.npy
104,13,0,14,14,14,0.865889,GPU,blocks/blk_0000104.npy
105,13,1,14,14,14,0.553936,GPU,blocks/blk_0000105.npy
106,13,2,14,14,14,0.936589,GPU,blocks/blk_0000106.npy
107,13,3,14,14,14,0.645773,GPU,blocks/blk_0000107.npy
108,13,4,14,14,14,0.598761,GPU,blocks/blk_0000108.npy
109,13,5,14,14,14,0.520773,GPU,blocks/blk_0000109.npy
110,13,6,14,14,14,0.634840,GPU,blocks/blk_0000110.npy
111,13,7,14,14,14,0.662172,GPU,blocks/blk_0000111.npy
112,14,0,14,14,14,0.893950,GPU,blocks/blk_0000112.npy
113,14,1,14,14,14,0.999636,GPU,blocks/blk_0000113.npy
114,14,2,14,14,14,1.000000,GPU,blocks/blk_0000114.npy
115,14,3,14,14,14,1.000000,GPU,blocks/blk_0000115.npy
116,14,4,14,14,14,0.926749,GPU,blocks/blk_0000116.npy
117,14,5,14,14,14,0.982872,GPU,blocks/blk_0000117.npy
118,14,6,14,14,14,1.000000,GPU,blocks/blk_0000118.npy
119,14,7,14,14,14,1.000000,GPU,blocks/blk_0000119.npy
120,15,0,14,14,14,0.999636,GPU,blocks/blk_0000120.npy
121,15,1,14,14,14,0.997813,GPU,blocks/blk_0000121.npy
122,15,2,14,14,14,0.998178,GPU,blocks/blk_0000122.npy
123,15,3,14,14,14,0.998178,GPU,blocks/blk_0000123.npy
124,15,4,14,14,14,1.000000,GPU,blocks/blk_0000124.npy
125,15,5,14,14,14,0.997085,GPU,blocks/blk_0000125.npy
126,15,6,14,14,14,0.997085,GPU,blocks/blk_0000126.npy
127,15,7,14,14,14,0.999636,GPU,blocks/blk_0000127.npy
128,16,0,14,14,14,0.999271,GPU,blocks/blk_0000128.npy
129,16,1,14,14,14,0.998542,GPU,blocks/blk_0000129.npy
130,16,2,14,14,14,0.999636,GPU,blocks/blk_0000130.npy
131,16,3,14,14,14,0.998542,GPU,blocks/blk_0000131.npy
132,16,4,14,14,14,0.999271,GPU,blocks/blk_0000132.npy
133,16,5,14,14,14,0.998542,GPU,blocks/blk_0000133.npy
134,16,6,14,14,14,1.000000,GPU,blocks/blk_0000134.npy
135,16,7,14,14,14,0.996356,GPU,blocks/blk_0000135.npy
136,17,0,14,14,14,1.000000,GPU,blocks/blk_0000136.npy
137,17,1,14,14,14,0.999636,GPU,blocks/blk_0000137.npy
138,17,2,14,14,14,0.998907,GPU,blocks/blk_0000138.npy
139,17,3,14,14,14,0.892128,GPU,blocks/blk_0000139.npy
140,17,4,14,14,14,0.999636,GPU,blocks/blk_0000140.npy
141,17,5,14,14,14,0.999636,GPU,blocks/blk_0000141.npy
142,17,6,14,14,14,1.000000,GPU,blocks/blk_0000142.npy
143,17,7,14,14,14,0.828353,GPU,blocks/blk_0000143.npy
144,18,0,14,14,14,0.998907,GPU,blocks/blk_0000144.npy
145,18,1,14,14,14,0.999636,GPU,blocks/blk_0000145.npy
146,18,2,14,14,14,1.000000,GPU,blocks/blk_0000146.npy
147,18,3,14,14,14,1.000000,GPU,blocks/blk_0000147.npy
148,18,4,14,14,14,1.000000,GPU,blocks/blk_0000148.npy
149,18,5,14,14,14,1.000000,GPU,blocks/blk_0000149.npy
150,18,6,14,14,14,1.000000,GPU,blocks/blk_0000150.npy
151,18,7,14,14,14,1.000000,GPU,blocks/blk_0000151.npy
152,19,0,14,14,14,0.983236,GPU,blocks/blk_0000152.npy
153,19,1,14,14,14,0.963921,GPU,blocks/blk_0000153.npy
154,19,2,14,14,14,0.991254,GPU,blocks/blk_0000154.npy
155,19,3,14,14,14,1.000000,GPU,blocks/blk_0000155.npy
156,19,4,14,14,14,1.000000,GPU,blocks/blk_0000156.npy
157,19,5,14,14,14,0.967930,GPU,blocks/blk_0000157.npy
158,19,6,14,14,14,0.815962,GPU,blocks/blk_0000158.npy
159,19,7,14,14,14,0.823615,GPU,blocks/blk_0000159.npy
160,20,0,14,14,14,1.000000,GPU,blocks/blk_0000160.npy
161,20,1,14,14,14,1.000000,GPU,blocks/blk_0000161.npy
162,20,2,14,14,14,1.000000,GPU,blocks/blk_0000162.npy
163,20,3,14,14,14,1.000000,GPU,blocks/blk_0000163.npy
164,20,4,14,14,14,0.991618,GPU,blocks/blk_0000164.npy
165,20,5,14,14,14,1.000000,GPU,blocks/blk_0000165.npy
166,20,6,14,14,14,1.000000,GPU,blocks/blk_0000166.npy
167,20,7,14,14,14,1.000000,GPU,blocks/blk_0000167.npy
168,21,0,14,14,14,1.000000,GPU,blocks/blk_0000168.npy
169,21,1,14,14,14,1.000000,GPU,blocks/blk_0000169.npy
170,21,2,14,14,14,1.000000,GPU,blocks/blk_0000170.npy
171,21,3,14,14,14,1.000000,GPU,blocks/blk_0000171.npy
172,21,4,14,14,14,1.000000,GPU,blocks/blk_0000172.npy
173,21,5,14,14,14,1.000000,GPU,blocks/blk_0000173.npy
174,21,6,14,14,14,0.999636,GPU,blocks/blk_0000174.npy
175,21,7,14,14,14,0.999636,GPU,blocks/blk_0000175.npy
176,22,0,14,14,14,0.995991,GPU,blocks/blk_0000176.npy
177,22,1,14,14,14,0.999636,GPU,blocks/blk_0000177.npy
178,22,2,14,14,14,1.000000,GPU,blocks/blk_0000178.npy
179,22,3,14,14,14,1.000000,GPU,blocks/blk_0000179.npy
